time_s,position_m,speed_mps,speed_kmh,acceleration_mps2,grade_promille,traction_force_n,brake_force_n,resistance_force_n,traction_energy_kwh,regen_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,phase,from_station,to_station
1.0,313.513,1.027,3.696,1.027,4.000,280000.0,0.0,4500.0,0.03992,0.00000,0.03333,0.07326,ACCEL,郭公庄,丰台科技园
2.0,315.053,2.053,7.389,1.026,4.000,280000.0,0.0,4642.2,0.15967,0.00000,0.06667,0.22633,ACCEL,郭公庄,丰台科技园
3.0,317.618,3.078,11.080,1.025,4.000,280000.0,0.0,4822.1,0.35919,0.00000,0.10000,0.45919,ACCEL,郭公庄,丰台科技园
4.0,321.208,4.102,14.769,1.024,4.000,280000.0,0.0,5039.9,0.63842,0.00000,0.13333,0.77175,ACCEL,郭公庄,丰台科技园
5.0,325.822,5.126,18.453,1.023,4.000,280000.0,0.0,5295.2,0.99730,0.00000,0.16667,1.16396,ACCEL,郭公庄,丰台科技园
6.0,331.459,6.148,22.134,1.022,4.000,280000.0,0.0,5588.0,1.43573,0.00000,0.20000,1.63573,ACCEL,郭公庄,丰台科技园
7.0,338.118,7.169,25.810,1.021,4.000,280000.0,0.0,5918.2,1.95364,0.00000,0.23333,2.18697,ACCEL,郭公庄,丰台科技园
8.0,345.797,8.189,29.480,1.020,4.000,280000.0,0.0,6285.5,2.55091,0.00000,0.26667,2.81758,ACCEL,郭公庄,丰台科技园
9.0,354.495,9.207,33.146,1.018,4.000,280000.0,0.0,6689.8,3.22743,0.00000,0.30000,3.52743,ACCEL,郭公庄,丰台科技园
10.0,364.211,10.224,36.805,1.016,4.000,280000.0,0.0,7130.7,3.98307,0.00000,0.33333,4.31640,ACCEL,郭公庄,丰台科技园
11.0,374.942,11.238,40.457,1.015,4.000,280000.0,0.0,7608.2,4.81769,0.00000,0.36667,5.18435,ACCEL,郭公庄,丰台科技园
12.0,386.686,12.251,44.103,1.013,4.000,280000.0,0.0,8121.9,5.73114,0.00000,0.40000,6.13114,ACCEL,郭公庄,丰台科技园
13.0,399.406,13.189,47.479,0.938,4.000,261209.2,0.0,8671.5,6.65406,0.00000,0.43333,7.08739,ACCEL,郭公庄,丰台科技园
14.0,413.027,14.053,50.590,0.864,4.000,242632.1,0.0,9213.6,7.57207,0.00000,0.46667,8.03874,ACCEL,郭公庄,丰台科技园
15.0,427.482,14.858,53.487,0.805,4.000,227710.9,0.0,9741.1,8.48641,0.00000,0.50000,8.98641,ACCEL,郭公庄,丰台科技园
16.0,442.717,15.613,56.205,0.755,4.000,215379.2,0.0,10256.3,9.39788,0.00000,0.53333,9.93122,ACCEL,郭公庄,丰台科技园
17.0,458.686,16.325,58.772,0.713,4.000,204963.1,0.0,10761.0,10.30707,0.00000,0.56667,10.87373,ACCEL,郭公庄,丰台科技园
18.0,475.350,17.002,61.207,0.676,4.000,196012.6,0.0,11256.4,11.21437,0.00000,0.60000,11.81437,ACCEL,郭公庄,丰台科技园
19.0,492.674,17.646,63.527,0.645,4.000,188213.7,0.0,11743.4,12.12011,0.00000,0.63333,12.75344,ACCEL,郭公庄,丰台科技园
20.0,510.628,18.263,65.745,0.616,4.000,181339.5,0.0,12222.7,13.02451,0.00000,0.66667,13.69118,ACCEL,郭公庄,丰台科技园
21.0,529.186,18.853,67.872,0.591,4.000,175221.5,0.0,12694.9,13.92778,0.00000,0.70000,14.62778,ACCEL,郭公庄,丰台科技园
22.0,548.323,19.421,69.916,0.568,4.000,169731.5,0.0,13160.4,14.83005,0.00000,0.73333,15.56338,ACCEL,郭公庄,丰台科技园
23.0,568.018,19.968,71.884,0.547,4.000,164769.8,0.0,13619.7,15.73145,0.00000,0.76667,16.49812,ACCEL,郭公庄,丰台科技园
24.0,588.250,20.496,73.784,0.528,4.000,160257.5,0.0,14073.0,16.63209,0.00000,0.80000,17.43209,ACCEL,郭公庄,丰台科技园
25.0,609.000,21.006,75.620,0.510,4.000,156131.7,0.0,14520.7,17.53204,0.00000,0.83333,18.36537,ACCEL,郭公庄,丰台科技园
